part,sensor,metric,stat,long_mean,short_mean,difference,t_stat,p_value,n_pairs,removed_short,removed_long,coef,z_value,n_titles,n_observations,n_long,n_short
Part 1,EEG,Distraction,AUC,13.903122037653844,21.402778494750006,-7.499656457096162,-2.8471140619497746,0.006342182419627259,52.0,0,8,,,,,,
Part 2,EEG,Distraction,AUC,13.654201230924528,27.301330520442626,-13.647129289518098,,0.0017114085020459846,,0,8,-13.605509925752248,-3.1362198623959747,3.0,114.0,53.0,61.0
Part 1,EEG,Distraction,Mean,0.1166809546491228,0.12593705319298246,-0.009256098543859656,-1.1456917749741435,0.25679519504579335,57.0,2,3,,,,,,
Part 2,EEG,Distraction,Mean,0.11471595787931033,0.1329267298135593,-0.01821077193424897,,0.45307885919150304,,2,3,-0.017997227351491042,-0.7502920009301521,3.0,117.0,58.0,59.0
Part 1,EEG,Drowsy,AUC,4.205840536634624,3.6083221680491393,0.5975183685854848,0.9200295650957088,0.36188869792825185,52.0,7,4,,,,,,
Part 2,EEG,Drowsy,AUC,4.780973113894745,3.86098070067695,0.9199924132177948,,0.4331760393229698,,7,4,0.8101239617582481,0.7837683653447993,3.0,111.0,57.0,54.0
Part 1,EEG,Drowsy,Mean,0.021775873131698195,0.024287461429218636,-0.002511588297520441,-0.6827854785839239,0.49777313340603047,53.0,6,4,,,,,,
Part 2,EEG,Drowsy,Mean,0.02536588664877201,0.026068116904519777,-0.0007022302557477683,,0.9113773267262493,,6,4,-0.0007022306113213875,-0.11130142338001946,3.0,112.0,57.0,55.0
Part 1,EEG,FrontalAlphaAsymmetry,AUC,2.8425870271923066,2.6777502201538446,0.16483680703846204,0.042495803833431836,0.9662693980397214,52.0,6,5,,,,,,
Part 2,EEG,FrontalAlphaAsymmetry,AUC,1.4457842405862074,0.34181383052631636,1.103970410059891,,0.8443310879992798,,6,5,1.2411762417509975,0.19635656823386208,3.0,115.0,58.0,57.0
Part 1,EEG,FrontalAlphaAsymmetry,Mean,-0.001015432344827576,-0.014788190982758617,0.01377275863793104,0.9341775648960824,0.35415300599282684,58.0,3,2,,,,,,
Part 2,EEG,FrontalAlphaAsymmetry,Mean,0.0005134398360655753,-0.014987647599999999,0.015501087436065574,,0.661771530058857,,3,2,0.016019245777930458,0.43746861821714583,3.0,121.0,61.0,60.0
Part 1,EEG,HighEngagement,AUC,86.4243765439,81.80073558785001,4.623640956049982,0.5388574651922706,0.5920127283817826,60.0,0,0,,,,,,
Part 2,EEG,HighEngagement,AUC,88.28077425465573,81.69473059690162,6.586043657754104,,0.6151256966753965,,0,0,3.371522960018827,0.5027704144411005,3.0,122.0,61.0,61.0
Part 1,EEG,HighEngagement,Mean,0.45146091708620695,0.4454626142413793,0.005998302844827663,0.3936882291822486,0.6952800908150474,58.0,0,2,,,,,,
Part 2,EEG,HighEngagement,Mean,0.45678538959322035,0.44768255788524586,0.00910283170797449,,0.747911767222371,,0,2,0.010316414588828246,0.32139408212219306,3.0,120.0,59.0,61.0
Part 1,EEG,LowEngagement,AUC,68.515606696208,65.74745122196667,2.7681554742413255,0.39196018018788364,0.696499898437297,60.0,0,0,,,,,,
Part 2,EEG,LowEngagement,AUC,68.3198192087292,65.55636188242622,2.7634573263029836,,0.9987856404238397,,0,0,-0.008605651211156997,-0.0015219746121714122,3.0,122.0,61.0,61.0
Part 1,EEG,LowEngagement,Mean,0.3361226806538461,0.3372333111730769,-0.0011106305192308263,-0.10516570238208608,0.9166568592109057,52.0,5,5,,,,,,
Part 2,EEG,LowEngagement,Mean,0.34923748808928573,0.342801361375,0.006436126714285728,,0.8198375069934134,,5,5,0.005196297875432734,0.22775397752084625,3.0,112.0,56.0,56.0
Part 1,EEG,Workload,AUC,103.14942670616666,98.79032262633334,4.35910407983333,0.47517448007494695,0.6364170465334635,60.0,0,0,,,,,,
Part 2,EEG,Workload,AUC,103.20354860606558,98.64312802754101,4.560420578524571,,0.8788965891393542,,0,0,0.5163322489531136,0.15236813379023098,3.0,122.0,61.0,61.0
Part 1,EEG,Workload,Mean,0.5448178746101695,0.5350181222372882,0.009799752372881332,1.6314375418285632,0.10821668193708786,59.0,1,0,,,,,,
Part 2,EEG,Workload,Mean,0.5398905249344261,0.5351143902166666,0.004776134717759506,,0.7654946527528141,,1,0,0.004776129167823084,0.2982732057704858,3.0,121.0,61.0,60.0
Part 1,ET,Blink,Count,250.27586206896552,242.0,8.275862068965523,0.3121092628428998,0.7560963757114699,58.0,4,8,,,,,,
Part 2,ET,Blink,Count,257.9516129032258,259.0153846153846,-1.0637717121588253,,0.6813446002580702,,4,8,-12.135523730283799,-0.41062899383291285,3.0,127.0,62.0,65.0
Part 1,ET,Blink,Rate,100.73116398146153,95.94569034787692,4.7854736335846155,0.7957024200113049,0.429146442461361,65.0,1,4,,,,,,
Part 2,ET,Blink,Rate,99.73235580916668,99.97406995017646,-0.24171414100977984,,0.8898687238600211,,1,4,1.5614044859779137,0.13847032123299916,3.0,134.0,66.0,68.0
Part 1,ET,Fixation,Count,440.7439024390244,438.5609756097561,2.182926829268297,0.07014992347744416,0.9442472342842416,82.0,0,0,,,,,,
Part 2,ET,Fixation,Count,443.0843373493976,438.5609756097561,4.523361739641473,,0.9763556010462302,,0,0,0.3173970948764285,0.029638198050145798,3.0,165.0,83.0,82.0
Part 1,ET,Fixation,PerMinute,139.73175914961536,140.44819682794872,-0.7164376783333637,-0.3451834690739341,0.7308976174051713,78.0,2,2,,,,,,
Part 2,ET,Fixation,PerMinute,140.67361646135802,140.02979104349998,0.6438254178580394,,0.8817027507756533,,2,2,0.44016420891323943,0.148811025052924,3.0,161.0,81.0,80.0
Part 1,ET,FixationDispersion,Mean,0.47197094320779215,0.4763504918311689,-0.00437954862337675,-0.4269430643888752,0.6706278707456633,77.0,4,2,,,,,,
Part 2,ET,FixationDispersion,Mean,0.4773001592962962,0.47807008384615374,-0.0007699245498575258,,0.8689108815579012,,4,2,-0.002009834142222218,-0.1650420540483679,3.0,159.0,81.0,78.0
Part 1,ET,FixationDuration,Mean,563.3423343878378,575.5576792837837,-12.215344895945918,-0.7053238412918279,0.48285331763733086,74.0,5,3,,,,,,
Part 2,ET,FixationDuration,Mean,565.35520834,583.2733840337661,-17.918175693766102,,0.3621611292955468,,5,3,-19.171674307528452,-0.9112548129538324,3.0,157.0,80.0,77.0
Part 1,FAC,AdaptiveEngagement,AUC,28.833030303030306,18.589196969696967,10.243833333333338,2.2585638800844317,0.02727296274014476,66.0,11,5,,,,,,
Part 2,FAC,AdaptiveEngagement,AUC,32.38041666666666,20.6608661971831,11.719550469483561,,0.019213889056890796,,11,5,12.198183958828624,2.341354975407575,3.0,149.0,78.0,71.0
Part 1,FAC,AdaptiveEngagement,Mean,0.25457301916455694,0.18834688626582277,0.06622613289873416,1.9724336785653467,0.052104206821450914,79.0,3,0,,,,,,
Part 2,FAC,AdaptiveEngagement,Mean,0.2671589197831325,0.1883468862658228,0.0788120335173097,,0.08011956453113521,,3,0,0.07507295145823499,1.7499927513071527,3.0,162.0,83.0,79.0
Part 1,FAC,Anger,AUC,0.0,0.0,0.0,,,62.0,10,17,,,,,,
Part 2,FAC,Anger,AUC,0.0,0.0,0.0,,,,10,17,,,3.0,138.0,66.0,72.0
Part 1,FAC,Anger,Binary,0.0,0.0,0.0,,,82.0,0,0,,,,,,
Part 2,FAC,Anger,Binary,0.0,0.0,0.0,,,,0,0,,,3.0,165.0,83.0,82.0
Part 1,FAC,Anger,Mean,0.0,0.0,0.0,,,62.0,10,17,,,,,,
Part 2,FAC,Anger,Mean,0.0,0.0,0.0,,,,10,17,,,3.0,138.0,66.0,72.0
Part 1,FAC,Confusion,AUC,0.008236363636363635,0.0016545454545454545,0.006581818181818181,1.4620808196569672,0.14951472067755575,55.0,20,16,,,,,,
Part 2,FAC,Confusion,AUC,0.012649253731343282,0.001467741935483871,0.011181511795859411,,0.024858427332442885,,20,16,0.010988683896620277,2.2435956821572343,3.0,129.0,67.0,62.0
Part 1,FAC,Confusion,Binary,0.0,0.0,0.0,,,82.0,0,0,,,,,,
Part 2,FAC,Confusion,Binary,0.0,0.0,0.0,,,,0,0,,,3.0,165.0,83.0,82.0
Part 1,FAC,Confusion,Mean,6.606183928571428e-05,7.520499999999999e-06,5.8541339285714284e-05,1.9302270095016862,0.058741597115246354,56.0,20,16,,,,,,
Part 2,FAC,Confusion,Mean,8.725640298507462e-05,6.792709677419355e-06,8.046369330765527e-05,,0.016977920280785156,,20,16,7.890347656069167e-05,2.387185541995962,3.0,129.0,67.0,62.0
Part 1,FAC,Contempt,AUC,0.429421875,0.1976953125,0.2317265625,2.373064348245431,0.02070478109731441,64.0,14,8,,,,,,
Part 2,FAC,Contempt,AUC,0.48572666666666675,0.20786764705882352,0.2778590196078432,,0.00831807789056873,,14,8,0.2755296686623141,2.638878532367208,3.0,143.0,75.0,68.0
Part 1,FAC,Contempt,Binary,0.0,0.0,0.0,,,82.0,0,0,,,,,,
Part 2,FAC,Contempt,Binary,0.0,0.0,0.0,,,,0,0,,,3.0,165.0,83.0,82.0
Part 1,FAC,Contempt,Mean,0.002843754876923077,0.0008281379846153845,0.0020156168923076926,3.2221513611195216,0.002002251662961275,65.0,16,6,,,,,,
Part 2,FAC,Contempt,Mean,0.003458622818181818,0.0008482362878787878,0.0026103865303030304,,0.00011221258179120462,,16,6,0.002665176514227787,3.8625434878114175,3.0,143.0,77.0,66.0
Part 1,FAC,Disgust,AUC,0.0,0.0,0.0,,,57.0,12,16,,,,,,
Part 2,FAC,Disgust,AUC,0.0,0.0,0.0,,,,12,16,,,3.0,137.0,67.0,70.0
Part 1,FAC,Disgust,Binary,0.0,0.0,0.0,,,82.0,0,0,,,,,,
Part 2,FAC,Disgust,Binary,0.0,0.0,0.0,,,,0,0,,,3.0,165.0,83.0,82.0
Part 1,FAC,Disgust,Mean,0.0,0.0,0.0,,,57.0,12,16,,,,,,
Part 2,FAC,Disgust,Mean,0.0,0.0,0.0,,,,12,16,,,3.0,137.0,67.0,70.0
Part 1,FAC,Engagement,AUC,28.824589552238805,21.860783582089553,6.963805970149252,1.377447353221941,0.17302736870904492,67.0,9,6,,,,,,
Part 2,FAC,Engagement,AUC,32.49301948051948,24.676520547945206,7.816498932574273,,0.1581030899622533,,9,6,7.751359469520848,1.4114801316461048,3.0,150.0,77.0,73.0
Part 1,FAC,Engagement,Binary,0.0,0.0,0.0,,,82.0,0,0,,,,,,
Part 2,FAC,Engagement,Binary,0.0,0.0,0.0,,,,0,0,,,3.0,165.0,83.0,82.0
Part 1,FAC,Engagement,Mean,0.27300114104999995,0.2077455610875,0.06525557996249995,1.9024058795450198,0.06076231943535611,80.0,2,0,,,,,,
Part 2,FAC,Engagement,Mean,0.27692199071084334,0.2077455610875,0.06917642962334333,,0.13573071574741266,,2,0,0.06653348406683522,1.491879583833304,3.0,163.0,83.0,80.0
Part 1,FAC,Fear,AUC,0.005187499999999999,0.0,0.005187499999999999,1.7641909560698188,0.08325297599414613,56.0,19,18,,,,,,
Part 2,FAC,Fear,AUC,0.011753846153846155,0.0,0.011753846153846155,,0.008759078897870039,,19,18,0.012912727609570195,2.6213169403452388,3.0,128.0,65.0,63.0
Part 1,FAC,Fear,Binary,0.0,0.0,0.0,,,82.0,0,0,,,,,,
Part 2,FAC,Fear,Binary,0.0,0.0,0.0,,,,0,0,,,3.0,165.0,83.0,82.0
Part 1,FAC,Fear,Mean,2.2681107142857143e-05,0.0,2.2681107142857143e-05,1.7599031043652087,0.08398482839862428,56.0,19,19,,,,,,
Part 2,FAC,Fear,Mean,3.604384375e-05,0.0,3.604384375e-05,,0.005442543284716252,,19,19,3.981104075819927e-05,2.7796027471190445,3.0,127.0,64.0,63.0
Part 1,FAC,Joy,AUC,3.3021874999999996,0.87415625,2.4280312499999996,2.976582781168296,0.004131516893287777,64.0,12,11,,,,,,
Part 2,FAC,Joy,AUC,3.389854166666667,1.1168142857142853,2.2730398809523815,,0.0034817213996059123,,12,11,2.228621849412092,2.9216593304493648,3.0,142.0,72.0,70.0
Part 1,FAC,Joy,Binary,0.0,0.0,0.0,,,82.0,0,0,,,,,,
Part 2,FAC,Joy,Binary,0.0,0.0,0.0,,,,0,0,,,3.0,165.0,83.0,82.0
Part 1,FAC,Joy,Mean,0.02278249286885246,0.0044407828852459025,0.01834170998360656,2.8340223004560725,0.006253224875934554,61.0,13,10,,,,,,
Part 2,FAC,Joy,Mean,0.028169792479452054,0.005634197898550725,0.02253559458090133,,0.00021181795797898902,,13,10,0.0229145344299693,3.7044882112963857,3.0,142.0,73.0,69.0
Part 1,FAC,NegativeAdaptiveValence,AUC,0.0,0.0,0.0,,,72.0,6,7,,,,,,
Part 2,FAC,NegativeAdaptiveValence,AUC,0.0,0.0,0.0,,,,6,7,,,3.0,152.0,76.0,76.0
Part 1,FAC,NegativeAdaptiveValence,Mean,0.0,0.0,0.0,,,72.0,6,7,,,,,,
Part 2,FAC,NegativeAdaptiveValence,Mean,0.0,0.0,0.0,,,,6,7,,,3.0,152.0,76.0,76.0
Part 1,FAC,Neutral,AUC,157.94071951219513,159.67603658536584,-1.7353170731707053,-0.13041991511424234,0.896557567634279,82.0,0,0,,,,,,
Part 2,FAC,Neutral,AUC,159.01973493975905,159.67603658536584,-0.6563016456067885,,0.8252076932891735,,0,0,-1.6826294042022196,-0.2208519738950292,3.0,165.0,83.0,82.0
Part 1,FAC,Neutral,Binary,0.0,0.0,0.0,,,82.0,0,0,,,,,,
Part 2,FAC,Neutral,Binary,0.0,0.0,0.0,,,,0,0,,,3.0,165.0,83.0,82.0
Part 1,FAC,Neutral,Mean,0.8518955092352941,0.9271830455735295,-0.07528753633823537,-3.6309530011591136,0.0005473490833094749,68.0,11,7,,,,,,
Part 2,FAC,Neutral,Mean,0.844520734368421,0.9211568521408451,-0.07663611777242407,,0.0029501526665015555,,11,7,-0.07571236950862517,-2.972884683676598,3.0,147.0,76.0,71.0
Part 1,FAC,NeutralAdaptiveValence,AUC,180.21006707317073,181.68264024390245,-1.472573170731721,-0.09494051185187102,0.9245965555880318,82.0,0,0,,,,,,
Part 2,FAC,NeutralAdaptiveValence,AUC,181.1952108433735,181.68264024390245,-0.4874294005289528,,0.4885101343107081,,0,0,-2.1887623246676133,-0.6926804121223686,3.0,165.0,83.0,82.0
Part 1,FAC,NeutralAdaptiveValence,Mean,0.97380510675,0.99483311885,-0.02102801210000005,-2.7696319176938773,0.00749067303139956,60.0,14,11,,,,,,
Part 2,FAC,NeutralAdaptiveValence,Mean,0.9692428156944446,0.993062036897059,-0.02381922120261437,,0.0002973145541946096,,14,11,-0.02420406483760763,-3.6176286534772246,3.0,140.0,72.0,68.0
Part 1,FAC,PositiveAdaptiveValence,AUC,2.9990483870967743,0.886516129032258,2.1125322580645163,2.6238980013129707,0.010967967677618632,62.0,13,11,,,,,,
Part 2,FAC,PositiveAdaptiveValence,AUC,3.3346597222222223,1.1451014492753624,2.1895582729468597,,0.007524851307570031,,13,11,2.1427103413224717,2.6726776793763336,3.0,141.0,72.0,69.0
Part 1,FAC,PositiveAdaptiveValence,Mean,0.013492848896551725,0.004550022155172415,0.00894282674137931,1.8645526414051057,0.06739585059229916,58.0,13,14,,,,,,
Part 2,FAC,PositiveAdaptiveValence,Mean,0.01753973753623189,0.005928642159420289,0.0116110953768116,,0.007990378044601872,,13,14,0.012189924227172137,2.652476117226879,3.0,138.0,69.0,69.0
Part 1,FAC,Sadness,AUC,0.23422131147540984,0.17858196721311476,0.05563934426229508,0.6693250582358583,0.5058556423604026,61.0,14,15,,,,,,
Part 2,FAC,Sadness,AUC,0.25179411764705883,0.18741176470588236,0.06438235294117647,,0.48863230208298936,,14,15,0.06259243654088432,0.6924857973040167,3.0,136.0,68.0,68.0
Part 1,FAC,Sadness,Binary,0.0,0.0,0.0,,,82.0,0,0,,,,,,
Part 2,FAC,Sadness,Binary,0.0,0.0,0.0,,,,0,0,,,3.0,165.0,83.0,82.0
Part 1,FAC,Sadness,Mean,0.0012431103333333331,0.0007860574833333333,0.00045705284999999986,1.0321075983308536,0.30623405411077553,60.0,15,16,,,,,,
Part 2,FAC,Sadness,Mean,0.0014277216268656716,0.0008228984328358209,0.0006048231940298508,,0.2152414988488245,,15,16,0.0006048236196471218,1.239280874861927,3.0,134.0,67.0,67.0
Part 1,FAC,Sentimentality,AUC,0.5293615384615384,0.2051923076923077,0.32416923076923077,2.948288083475866,0.004456196280496821,65.0,10,12,,,,,,
Part 2,FAC,Sentimentality,AUC,0.5129859154929577,0.22272916666666667,0.29025674882629104,,0.006419214292647158,,10,12,0.30386626108350395,2.7255618778301787,3.0,143.0,71.0,72.0
Part 1,FAC,Sentimentality,Binary,0.0,0.0,0.0,,,82.0,0,0,,,,,,
Part 2,FAC,Sentimentality,Binary,0.0,0.0,0.0,,,,0,0,,,3.0,165.0,83.0,82.0
Part 1,FAC,Sentimentality,Mean,0.0024794251475409837,0.0008388213770491804,0.0016406037704918032,2.3024161218244767,0.024796793109850262,61.0,12,14,,,,,,
Part 2,FAC,Sentimentality,Mean,0.002789416217391304,0.0009672183428571429,0.001822197874534161,,0.0048442964726326905,,12,14,0.0019121427932372115,2.8172091739099363,3.0,139.0,69.0,70.0
Part 1,FAC,Surprise,AUC,0.05519827586206897,0.005094827586206896,0.05010344827586207,2.1944035601037566,0.03229665031351562,58.0,19,14,,,,,,
Part 2,FAC,Surprise,AUC,0.09476086956521738,0.00469047619047619,0.0900703933747412,,0.001757784368527026,,19,14,0.09155291193181818,3.128370524000301,3.0,132.0,69.0,63.0
Part 1,FAC,Surprise,Binary,0.0,0.0,0.0,,,82.0,0,0,,,,,,
Part 2,FAC,Surprise,Binary,0.0,0.0,0.0,,,,0,0,,,3.0,165.0,83.0,82.0
Part 1,FAC,Surprise,Mean,0.00020941292727272726,9.216781818181817e-06,0.00020019614545454544,1.8751107215787721,0.0661892208872914,55.0,20,17,,,,,,
Part 2,FAC,Surprise,Mean,0.0003393338787878788,8.176177419354838e-06,0.00033115770136852397,,0.004238048388681131,,20,17,0.0003378657278868483,2.8598773812523572,3.0,128.0,66.0,62.0
Part 1,FAC_EMOTION,EmotionComposite,AUC_SUM,12.8792578125,6.078460937499999,6.800796875000001,3.143064599551733,0.0025488892718602105,64.0,12,10,,,,,,
Part 2,FAC_EMOTION,EmotionComposite,AUC_SUM,14.868424657534247,6.4035857142857155,8.46483894324853,,0.0011874168772914892,,12,10,8.258249371957449,3.2418855747714583,3.0,143.0,73.0,70.0
Part 1,GSR,PeakDetected,Binary,0.7407407407407407,0.7160493827160493,0.024691358024691357,0.5321520841901914,0.5960955163008068,81.0,0,0,,,,,,
Part 2,GSR,PeakDetected,Binary,0.7439024390243902,0.7160493827160493,0.027853056308340896,,0.7187395777959338,,0,0,0.02468676458277117,0.360143829235481,3.0,163.0,82.0,81.0
Part 1,GSR,Peaks,Count,2224.5098039215686,1812.1764705882354,412.33333333333326,1.5421660932211947,0.12933910074836927,51.0,1,0,,,,,,
Part 2,GSR,Peaks,Count,2285.2950819672133,1657.9473684210527,627.3477135461605,,0.02008270753430796,,1,0,582.0013001120485,2.324799055660067,3.0,118.0,61.0,57.0
Part 1,GSR,Peaks,PerMinute,694.0013854178845,587.8641621475,106.13722327038454,2.060410929911195,0.044478116067871325,52.0,0,0,,,,,,
Part 2,GSR,Peaks,PerMinute,678.7754775580329,536.9005892048276,141.87488835320528,,0.03699307873807331,,0,0,146.1318939391859,2.085840441586774,3.0,119.0,61.0,58.0
